TransactionID,Category,Region,Season,Units_Sold,Unit_Price,Inventory_Days,Revenue,Cost,Profit
1,Home & Kitchen,South,Fall,33,171.15,88,5647.95,4233.196878613183,1414.753121386817
2,Toys,South,Summer,33,88.99,24,2936.6699999999996,2131.075739938956,805.5942600610438
3,Groceries,South,Fall,43,325.19,16,13983.17,12227.635727531528,1755.5342724684724
4,Toys,East,Fall,37,197.19,51,7296.03,5170.829027931578,2125.200972068422
5,Toys,East,Summer,12,118.55,5,1422.6,1101.3434961316634,321.2565038683365
6,Clothing,West,Summer,3,136.64,18,409.91999999999996,323.7053330711922,86.21466692880779
7,Groceries,West,Summer,1,183.37,68,183.37,110.74233915138082,72.62766084861919
8,Groceries,North,Spring,33,133.68,42,4411.4400000000005,3525.01059132282,886.4294086771806
9,Groceries,North,Winter,40,229.35,41,9174.0,5994.3905880189295,3179.6094119810705
10,Toys,West,Spring,10,21.0,15,210.0,186.54743000057567,23.452569999424327
11,Home & Kitchen,East,Spring,43,143.48,81,6169.639999999999,3976.9426534964146,2192.697346503585
12,Groceries,South,Fall,44,208.55,7,9176.2,6647.122165243175,2529.0778347568257
13,Toys,West,Summer,29,303.38,37,8798.02,5504.084426024781,3293.935573975219
14,Clothing,North,Winter,13,139.12,10,1808.56,1626.008069075552,182.55193092444802
15,Home & Kitchen,East,Fall,12,70.93,54,851.1600000000001,638.9304914980622,212.22950850193786
16,Clothing,West,Spring,31,42.72,14,1324.32,1031.136085841184,293.1839141588159
17,Home & Kitchen,West,Summer,46,470.56,9,21645.76,13423.032399358599,8222.7276006414
18,Toys,East,Fall,2,211.24,27,422.48,348.54098986027344,73.93901013972658
19,Electronics,West,Summer,35,292.68,14,10243.800000000001,6791.349274365769,3452.450725634232
20,Home & Kitchen,East,Fall,23,459.99,48,10579.77,9198.224348938855,1381.5456510611457
21,Clothing,South,Summer,17,45.96,6,781.32,516.8759111704205,264.4440888295795
22,Toys,East,Spring,26,438.95,17,11412.699999999999,7500.498524885467,3912.2014751145316
23,Home & Kitchen,East,Winter,8,278.04,44,2224.32,1358.9814471563623,865.3385528436379
24,Electronics,East,Spring,29,86.59,6,2511.11,1862.2896079605512,648.820392039449
25,Electronics,West,Winter,26,208.57,88,5422.82,4172.601538283754,1250.2184617162457
26,Groceries,West,Summer,10,389.91,69,3899.1000000000004,2416.321366798527,1482.7786332014734
27,Groceries,East,Fall,26,242.78,67,6312.28,5255.972239293474,1056.307760706526
28,Clothing,West,Spring,34,492.72,77,16752.48,12329.601641501891,4422.878358498108
29,Home & Kitchen,North,Winter,41,191.49,21,7851.09,5945.764559884521,1905.325440115479
30,Home & Kitchen,North,Spring,7,376.04,13,2632.28,1927.431289053168,704.8487109468322
31,Groceries,West,Winter,4,199.53,79,798.12,574.8291042437446,223.2908957562554
32,Home & Kitchen,West,Spring,45,415.44,19,18694.8,14355.589219722262,4339.210780277737
