CustomerID,Tenure_Months,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Complaints,CustomerSupportCalls,Churn
1,3,66.85,4348.24,Month-to-Month,Fiber Optic,Mailed Check,4,8,No
2,37,114.43,2879.07,One Year,No,Electronic Check,1,1,No
3,43,30.22,2791.55,One Year,DSL,Credit Card,4,8,No
4,40,105.42,364.1,Two Year,Fiber Optic,Mailed Check,3,4,No
5,55,72.7,4936.13,One Year,Fiber Optic,Credit Card,1,7,No
6,39,102.59,790.26,Month-to-Month,No,Electronic Check,3,1,No
7,15,49.84,1309.43,One Year,DSL,Mailed Check,1,5,No
8,4,103.99,448.14,Two Year,Fiber Optic,Bank Transfer,2,2,No
9,25,97.28,3272.01,One Year,No,Bank Transfer,0,9,No
10,13,43.01,1278.57,One Year,Fiber Optic,Mailed Check,0,4,No
11,33,33.13,1064.05,One Year,No,Mailed Check,3,7,No
12,16,106.81,625.07,Two Year,DSL,Credit Card,0,9,No
13,42,116.32,695.88,One Year,DSL,Mailed Check,3,0,No
14,66,23.13,3006.42,One Year,DSL,Credit Card,3,4,No
15,55,93.13,3503.4,Month-to-Month,DSL,Electronic Check,3,2,No
16,42,110.95,2107.42,Two Year,Fiber Optic,Credit Card,0,3,No
17,34,105.74,2503.51,One Year,Fiber Optic,Mailed Check,3,1,No
18,30,116.45,3492.65,Two Year,DSL,Mailed Check,0,8,No
19,13,96.01,283.42,One Year,DSL,Electronic Check,3,2,No
20,13,64.23,1751.03,One Year,DSL,Mailed Check,4,1,No
21,18,51.2,4870.87,One Year,Fiber Optic,Mailed Check,3,9,No
22,32,52.07,2984.54,Month-to-Month,DSL,Bank Transfer,1,8,No
23,39,92.44,1420.28,Month-to-Month,DSL,Bank Transfer,3,6,No
24,46,94.58,2704.3,Month-to-Month,DSL,Electronic Check,2,5,No
25,29,40.04,1844.74,Two Year,No,Credit Card,3,0,No
26,62,106.81,2754.78,Two Year,DSL,Bank Transfer,1,4,No
27,62,91.49,803.56,Month-to-Month,No,Credit Card,1,2,No
28,57,76.28,837.03,Two Year,No,Mailed Check,0,0,No
29,16,67.15,889.0,One Year,DSL,Bank Transfer,4,3,No
30,56,74.32,4711.14,One Year,No,Electronic Check,3,1,No
31,10,35.92,3717.91,One Year,DSL,Electronic Check,0,1,No
32,30,40.37,979.43,Month-to-Month,Fiber Optic,Electronic Check,4,2,No
33,25,29.12,1104.08,Two Year,Fiber Optic,Bank Transfer,3,7,No
34,5,35.37,3707.98,Month-to-Month,Fiber Optic,Credit Card,2,7,No
35,65,65.37,949.59,Two Year,Fiber Optic,Mailed Check,3,6,No
36,49,73.04,1325.89,One Year,No,Credit Card,1,5,No
37,3,21.79,4824.06,Month-to-Month,DSL,Credit Card,1,8,No
38,45,99.68,1425.47,Two Year,DSL,Mailed Check,2,3,No
39,14,49.42,3375.84,Two Year,DSL,Mailed Check,0,0,No
40,30,111.18,4897.43,One Year,Fiber Optic,Bank Transfer,4,7,No
41,68,116.75,1996.62,Month-to-Month,Fiber Optic,Bank Transfer,3,6,No
42,18,38.55,284.08,Month-to-Month,DSL,Bank Transfer,1,6,No
43,62,66.21,1371.91,Month-to-Month,Fiber Optic,Bank Transfer,0,2,No
44,37,20.12,4188.21,One Year,DSL,Bank Transfer,2,3,No
45,25,79.83,4350.12,Month-to-Month,DSL,Mailed Check,1,9,No
46,48,80.73,3888.89,One Year,DSL,Credit Card,2,8,No
47,65,44.75,742.93,One Year,DSL,Bank Transfer,3,5,No
48,53,75.84,4018.45,One Year,DSL,Bank Transfer,4,4,No
49,15,42.55,4609.65,Two Year,DSL,Credit Card,1,2,No
50,49,36.08,3082.93,Month-to-Month,DSL,Bank Transfer,1,8,No
51,68,85.15,4716.2,Month-to-Month,Fiber Optic,Credit Card,3,4,No
52,12,52.59,4168.83,One Year,DSL,Credit Card,0,4,No
53,59,79.03,3401.46,One Year,DSL,Mailed Check,4,3,No
54,37,63.32,2970.49,Month-to-Month,Fiber Optic,Electronic Check,1,3,No
55,61,118.44,1873.15,One Year,Fiber Optic,Mailed Check,4,0,No
56,43,34.96,964.58,Month-to-Month,Fiber Optic,Electronic Check,1,6,No
57,70,66.46,3103.78,Two Year,DSL,Electronic Check,4,8,No
58,39,88.05,1726.94,One Year,No,Electronic Check,2,2,No
59,56,59.55,4358.91,Month-to-Month,No,Bank Transfer,1,1,No
60,63,117.47,4968.02,One Year,Fiber Optic,Mailed Check,4,2,No
61,46,92.19,3811.65,Month-to-Month,No,Electronic Check,0,0,No
62,11,85.7,634.31,Month-to-Month,Fiber Optic,Credit Card,2,5,No
63,62,95.71,1585.69,One Year,DSL,Bank Transfer,2,6,No
64,25,115.26,723.73,Two Year,No,Mailed Check,0,1,No
65,71,110.78,3322.46,Month-to-Month,DSL,Electronic Check,4,7,No
66,52,92.43,3872.92,Month-to-Month,No,Credit Card,3,5,No
67,4,94.92,4643.24,Month-to-Month,DSL,Mailed Check,0,3,No
68,59,34.59,2303.23,Two Year,No,Mailed Check,4,4,No
69,20,30.28,4526.6,Two Year,DSL,Bank Transfer,0,7,No
70,63,77.09,4413.88,One Year,DSL,Mailed Check,0,2,No
71,54,21.84,1722.54,Two Year,No,Bank Transfer,1,2,No
72,57,68.24,4370.72,One Year,DSL,Electronic Check,4,3,No
73,41,41.03,2003.23,One Year,DSL,Bank Transfer,3,0,No
74,3,54.6,1624.97,Two Year,DSL,Credit Card,1,8,No
75,6,97.58,3315.56,One Year,No,Bank Transfer,0,7,No
76,5,114.12,1776.23,Two Year,No,Credit Card,0,7,No
77,5,27.24,3225.0,One Year,DSL,Bank Transfer,0,9,No
78,54,73.42,3127.19,Two Year,DSL,Mailed Check,4,5,No
79,47,108.25,2904.51,Two Year,No,Electronic Check,4,6,No
80,49,28.25,2026.01,One Year,No,Credit Card,1,5,No
81,9,102.45,2832.8,Month-to-Month,DSL,Bank Transfer,3,8,Yes
82,20,55.78,3063.13,One Year,DSL,Bank Transfer,1,2,No
83,61,52.21,2819.3,Two Year,DSL,Bank Transfer,2,2,No
84,35,117.75,2333.21,Month-to-Month,Fiber Optic,Mailed Check,0,2,No
85,50,40.09,270.4,One Year,No,Mailed Check,0,9,No
86,62,89.32,3017.9,One Year,Fiber Optic,Credit Card,0,2,No
87,17,102.14,1008.53,One Year,No,Credit Card,1,8,No
88,3,24.12,3284.36,Month-to-Month,No,Mailed Check,1,3,No
89,32,87.04,3844.85,Two Year,No,Credit Card,0,6,No
90,13,115.15,2602.14,One Year,No,Electronic Check,1,8,No
91,68,32.42,2803.35,One Year,No,Electronic Check,4,6,No
92,14,109.62,4767.1,One Year,No,Mailed Check,4,8,No
93,11,79.48,4266.4,One Year,No,Credit Card,1,2,No
94,56,81.66,4588.34,One Year,Fiber Optic,Bank Transfer,0,3,No
95,67,81.29,4106.08,Two Year,DSL,Electronic Check,1,7,No
96,29,49.88,722.81,Two Year,DSL,Mailed Check,1,5,No
97,9,113.52,915.16,One Year,Fiber Optic,Credit Card,1,4,No
98,67,114.74,2727.79,Month-to-Month,Fiber Optic,Mailed Check,2,3,No
99,25,82.53,1381.13,Two Year,Fiber Optic,Bank Transfer,4,7,No
100,42,98.34,2488.14,Month-to-Month,Fiber Optic,Electronic Check,3,0,No
101,9,81.23,2092.95,Two Year,No,Mailed Check,3,8,Yes
102,40,68.44,2837.19,One Year,DSL,Mailed Check,2,0,No
103,25,86.08,3785.0,Two Year,No,Mailed Check,1,7,No
104,5,75.3,3634.36,One Year,DSL,Bank Transfer,2,3,No
